"Modul";"Tabelle";"Feldinhalt";"Feld";"Typ";"Art des Feldes";"Formel";"Tab";"Kategorie";"Status"
"objekte";"ObjPreise";"Warmwasser Netto";"warmwasser_netto";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Preis auf Anfrage";"preisAufAnfrage";"TINYINT(1)";"";"";"preise";"Preise";"Inaktiv"
"adressen";"adressen";"ext. Nr (remax.at)";"ediRealExtNummer";"VARCHAR(100)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"objekte";"ObjTech";"positive Weitergabe";"weitergabe_positiv";"varchar(20)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjTech";"Ametafähig";"ametafaehig";"TINYINT(1)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"adressen";"adressen";"Stiege";"stiege";"VARCHAR(20)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"adressen";"adressen";"Türnr.";"tuernr";"VARCHAR(20)";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"objekte";"ObjPreise";"Heizkosten Brutto";"heizkosten_brutto";"Decimal(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Liftkosten";"liftkosten";"Float(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"MwSt.-Satz Außen-Provision";"mwstSatzAussenCourtage";"Decimal(13,2)";"";"";"preisen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"MwSt.-Satz Maklercourtage";"mwstSatzInnenCourtage";"Decimal(13,2)";"";"";"preisen";"Preise";"Inaktiv"
"objekte";"ObjTech";"KgNr";"kgnr";"VARCHAR(80)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjTech";"Katastralgemeinde";"katastralgemeinde";"VARCHAR(80)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjTech";"Einlagezahl";"einlagezahl";"VARCHAR(90)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjTech";"Grundstücknr.";"grundstuecknr";"VARCHAR(90)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjTech";"Anteile";"anteile_text";"VARCHAR(20)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjTech";"Widmung";"widmung";"VARCHAR(80)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjTech";"Eigentumsform";"eigentumsform";"VARCHAR(100)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjVerwaltung";"zuerst eingestellt am";"zuerstEingestelltDatum";"Date";"";"";"details";"Verwaltung";"Inaktiv"
"objekte";"ObjHomepage";"Objekt des Tages";"objekt_des_tages";"TINYINT(1)";"";"";"vermarktung";"";"Inaktiv"
"objekte";"ObjHomepage";"Courtagefrei";"courtage_frei";"TINYINT(1)";"";"";"vermarktung";"";"Inaktiv"
"adressen";"adressen";"Automatischer Exposéversand";"autoExposeVersand";"tinyint(1)";"";"";"grunddaten";"Verwaltung";"Aktiv"
"objekte";"ObjZustand";"Baujahr lt. Energieausweis";"energieausweisBaujahr";"INT(10)";"";"";"details";"Zustand";"Aktiv"
"objekte";"ObjZustand";"wesentlicher Energieträger";"energietraeger";"VARCHAR(80)";"";"";"details";"Zustand";"Aktiv"
"objekte";"ObjZustand";"Gewerbe";"placeholderEnergy";"blackHint";"";"";"details";"Zustand";"Aktiv"
"objekte";"ObjZustand";"Endenergiebedarf (Wärme)";"endenergiebedarfWaerme";"DECIMAL(7,2)";"";"";"details";"Zustand";"Aktiv"
"objekte";"ObjZustand";"Endenergieverbrauch (Wärme)";"endenergieverbrauchWaerme";"DECIMAL(7,2)";"";"";"details";"Zustand";"Aktiv"
"objekte";"ObjZustand";"Endenergiebedarf (Strom)";"endenergiebedarfStrom";"DECIMAL(7,2)";"";"";"details";"Zustand";"Aktiv"
"objekte";"ObjZustand";"Endenergieverbrauch (Strom)";"endenergieverbrauchStrom";"DECIMAL(7,2)";"";"";"details";"Zustand";"Aktiv"
"adressen";"adressen";"Bemerkung";"Bemerkung";"text";"";"";"grunddaten";"Stammdaten";"Inaktiv"
"objekte";"ObjTech";"Autom. Exposéversand";"autoExpose";"TINYINT(1)";"";"";"grunddaten";"Technische-Angaben";"Aktiv"
"objekte";"ObjGeo";"Region Foremost Property Group";"regionFPG";"Varchar(255)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjHomepage";"Exklusiv";"exclusive";"TINYINT(1)";"";"";"vermarktung";"";"Inaktiv"
"objekte";"ObjTech";"Stichwort";"stichwort";"Varchar(80)";"";"";"grunddaten";"Technische-Angaben";"Inaktiv"
"objekte";"ObjPreise";"Nebenkosten pro qm";"nk_pro_qm";"Float(13,2)";"DATA_TYPE_MONETARY";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjTech";"Stammobjekt";"stammobjekt";"TINYINT(1)";"";"";"grunddaten";"Technische-Angaben";"Aktiv"
"objekte";"ObjPreise";"Berechnungsgrundlage";"berechnungsgrundlage";"Varchar(80)";"";"";"grunddaten";"Preise";"Inaktiv"
"objekte";"ObjFlaeche";"Verfügbar";"verfuegbar";"Float(13,2)";"";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjFlaeche";"Hallenhöhe";"hallenhoehe";"FLOAT(13,2)";"DATA_TYPE_DECIMAL_LENGTH";"";"preise_flaechen";"Flächen";"Inaktiv"
"objekte";"ObjGeo";"Orientierung";"orientierung";"VARCHAR(4)";"";"";"grunddaten";"Geografische-Angaben";"Inaktiv"
"objekte";"ObjPreise";"Erbpachtzins";"erbpachtzins";"Decimal(13,2)";"";"";"preise_flaechen";"Preise";"Inaktiv"
"objekte";"ObjPreise";"Erbpacht Restlaufzeit";"erbpacht_restlaufzeit";"INT";"";"";"preise_flaechen";"Preise";"Inaktiv"
